tx_id,sender,receiver,amount,timestamp,type,status
d83a431a-9113-4340-92ea-48fbdb0e4584,0x13b1c8b0e696aff8b4fee742119b549b605f3cbc,0xd0df53e296c1e3115fccc3d7cdf4ba495e593b56,3.5726,2024-11-19 11:58:33,mint,success
130fdce4-991c-4fbd-be33-fec25bd15da5,0x3e69ad05716bdc834db72c4d6d44439a7c8a902b,0x4814be124d7fe3b240eb46061f7ddfab468fe122,3.1927,2023-04-28 00:47:57,mint,success
c906a07a-0ab6-4732-bc3f-2e70a3e098d3,0x9ad1331c5b6c5a641acffb32719c66a80c6e1a17,0x578cea5f899b0dfbf05c7fbcfda1a644b2a47787,1.6672,2023-07-15 09:18:40,transfer,success
5ca8f003-7711-4123-a231-07023ef79ae6,0x7399dbeebe2f88bc6ac4e3fd7ddb836a4bce322f,0x7be3dfb5b6fcbae542ea85e76cc19916a20f6c1e,2.3793,2024-01-08 18:27:36,swap,failed
f5465e67-4c2d-479b-af3e-9e0a03e6ccd7,0x3867d222ba91236ad4d12c31056626f9e798629c,0xded1f838ae6aa5fcd0f13481b37ee88e5bdccb3d,2.8079,2025-02-06 11:35:19,swap,success
31d23b79-88b6-4bbf-8bc6-d46a0a59ddcb,0x1ab2ccad4fc97c9968ea87d4435326715be32872,0x6d69ca3711e504658977367e13c300ab198379f1,2.5983,2025-01-18 04:58:51,transfer,failed
e890802e-9207-4041-80f6-591ee6213ca8,0xa98dc64bb42575efec7d1e4560c029231ce5da51,0x854a873b8f9bfac36a5eb9c648e285a095a7478d,4.4138,2023-03-01 14:04:39,transfer,success
909da9d2-9cc2-4f83-98ee-a4ca01fc9e5b,0x7de76a449cf60ea3e111ff18b28e516d89532152,0x4814be124d7fe3b240eb46061f7ddfab468fe122,2.7917,2023-01-27 09:37:41,mint,pending
b61a8cc9-9b70-42c8-b155-06f8b09bbc43,0xb271ff7090b39028eb6e711c3f89a3453d5861ee,0xd334d18fa6bada9a10f361bae42a019ce88a3c33,0.833,2023-07-27 01:30:02,mint,pending
bb5dd7c3-5587-49c0-a89a-9ce879de896b,0x6e355417f7f56e7927d1cd971f0b5a1e6d538487,0x56ba823641bfc317afc8459bf27feed6eb9ff59f,2.2872,2024-07-22 13:20:06,contract,failed
b78206a4-716d-4a8f-81c9-fc04ede383dd,0xd9d3930ffa343f5a0eec7606d045d0843d3a02b4,0xf60304b534f74977e159b2e159e135475c245526,0.0044,2024-04-09 07:36:04,stake,pending
3e43a55c-6b86-42c9-a20c-f9009879f672,0x6a2752a534faacaaa153bffbb973dd84e0e5497b,0x91919344c1dad09772d19ad8ad4f1bcd29c51f27,3.4687,2024-02-27 02:51:29,mint,failed
d2b1ba64-8bf6-4460-9774-2ee0dc733d22,0x91919344c1dad09772d19ad8ad4f1bcd29c51f27,0x1656f1886c5ab634ac19568cd571bc72f385fdf7,1.9341,2024-09-22 15:49:33,transfer,success
f13cfd6f-d535-4140-8de5-59844efbafbc,0xf54f36bca969800fd7d63a68029561309938c09b,0x7f5e6a28afc9fb0aaf4259d4ff69991b88ebea47,0.5907,2023-07-22 10:09:19,stake,success
eff6419f-5e8f-47df-96c2-eb05b001c932,0x91919344c1dad09772d19ad8ad4f1bcd29c51f27,0xf10fd8921019615a856c1e95c7cd3632de34edc4,2.4674,2023-07-31 19:07:00,stake,pending
bff9320a-741d-4d20-9005-ac0e35139f6c,0xebb8629e8a3ec86cf90cb7600264415640834483,0x58d68d4bcf9725e40353379cec92b90332561683,1.0695,2024-09-13 09:36:10,transfer,failed
15c4f816-63d1-4782-9402-fbdd6afc74ce,0x7e3eab408b9c76a13305ef34606f17c16f7b33cc,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,1.8808,2023-06-22 11:12:34,swap,failed
5f51ff1a-fcd6-4123-935e-44c2af1248ad,0x104ae61d8d487ad689969a17807ddc338b445416,0x2844658bf341db96aa247259824f42025e3bcec2,1.0581,2024-05-25 14:45:30,transfer,failed
6dc72124-b90c-4929-a31b-8430d9cb7c34,0xdde73df7bd4d704a89ad8421402701b3a460c6e9,0x7851bdfb64bbecfb40c030d722a1f147dff5db6a,2.2897,2024-01-08 22:14:12,contract,pending
65d32d01-c72b-4acc-8dad-6deba5881863,0x8be38ea2b22b706aef313c2de81f7d179024dd30,0x8587d9f794f06d976c2ec1cfd523983b856f5ca9,0.081,2024-02-16 13:29:46,contract,failed
273d8e0b-c22a-4a37-8b6c-1e785bd6366e,0x578cea5f899b0dfbf05c7fbcfda1a644b2a47787,0x13b1c8b0e696aff8b4fee742119b549b605f3cbc,4.0235,2024-08-30 05:47:15,stake,success
ea39d2c1-dcfd-4c8e-8529-8493652ff53f,0x58c2a9099a03750e9842d3e9a7780cdd6aa70b86,0x5e324b4a564512ea7c93088dba2f8c1bf046a3eb,4.6001,2024-12-22 19:23:33,contract,failed
d2f13072-0ee8-4918-a388-8ffc2ebbb25d,0x111c7208a7e2af345d36b6d4aace8740d61a3078,0xa7f3c74f0255796fd5d3ddcf88db769f7a6bf46a,2.6074,2025-01-23 23:05:25,stake,failed
edf1d338-8433-48e7-8b70-4b7b8e743ef3,0xcbbd9fe837a14258286bbf2e182cbc4e4518c5a3,0x854a873b8f9bfac36a5eb9c648e285a095a7478d,0.2036,2025-02-04 01:29:54,stake,failed
fcfc67ff-11fb-4e7b-8490-4cd17eea116a,0x19df3e87f73c4aaf4809295561465b993e102668,0x7b4636320daa0bc055368a4f9b9d01bd8ac51877,0.4041,2023-11-28 21:50:35,transfer,pending
9a7494fc-b8bd-400b-80af-d7f761fdbc3a,0x1656f1886c5ab634ac19568cd571bc72f385fdf7,0x19df3e87f73c4aaf4809295561465b993e102668,3.8313,2024-10-24 18:01:08,transfer,success
40b3a940-bd62-461c-a995-0ba2594b5bea,0x8587d9f794f06d976c2ec1cfd523983b856f5ca9,0xc179d55f7e00e789915760f7d260a1bf6285278b,4.5271,2025-01-27 07:02:26,stake,pending
094c5b04-8a4f-4470-afbe-79cbd06627fe,0xcecf5163bb057c1aff4963d9b9a7d2f0bf591710,0x2a2fde3e1beb508fcf7c137a1d5965f13a17825e,0.0655,2023-08-27 13:34:01,contract,failed
ccf6e845-133b-4240-802d-99720a2b68c3,0x70d8e4ab175dfe0eab4e9a7f33e0a2d19f44001e,0x1656f1886c5ab634ac19568cd571bc72f385fdf7,3.0805,2025-03-17 19:28:41,swap,failed
9ac7f82b-4475-4eba-931b-1b393ad20c0d,0xf67e8e5805835465f7eba988259db882ab726800,0x507b6c0d950702f066a9a1bd5e85206f87b065ba,2.0471,2023-12-03 20:34:23,mint,pending
bfafdaaf-2055-4ee4-8dd5-0a89c44196b6,0xd1a3888fd8f490367c6104e10b4154427c02dd9c,0x880a0af12da55df1197f41697c1a1b61670ed410,1.9644,2024-04-06 11:14:57,mint,pending
e6ba95b5-c079-44db-8121-13565f5203a3,0x9a363adc5d382c04d36b09158286328f75672098,0xcecf5163bb057c1aff4963d9b9a7d2f0bf591710,3.2594,2023-02-18 04:00:55,stake,pending
8d045910-121e-41b2-abbb-ed63faf69715,0x91919344c1dad09772d19ad8ad4f1bcd29c51f27,0x13b1c8b0e696aff8b4fee742119b549b605f3cbc,2.1209,2025-06-27 15:57:05,transfer,failed
d8a356e8-ecc6-4533-bd99-9f3877e98f4d,0x96bb4447a02b95f1d1e85374cffd565eb22ed2f8,0xf7aa5d0752cfcd41b0a5945867d619a80c405e52,3.1827,2024-05-28 19:45:31,contract,pending
8df8364d-1afe-4580-a3a5-c2309b58e373,0xeded1c8c0a0c532195b8432153f3bfa81dba2a90,0x1e43dacdcf863676a6bec8f7d6896d6252fac669,4.6118,2024-05-04 09:46:45,contract,success
c8afcccc-c608-42f2-b0a3-0983cc1accf2,0xa98dc64bb42575efec7d1e4560c029231ce5da51,0x3867d222ba91236ad4d12c31056626f9e798629c,0.3134,2024-08-12 07:07:28,swap,pending
50e3457a-5841-4b9e-9127-36917616dd67,0xc22b8e78394ce52e0034609a67ae3c959daa84bc,0x4839e666e2baf12a51bf004392b35972eeddeabf,2.9539,2024-05-03 05:03:35,contract,pending
45b41235-22c6-4714-b61e-8057fa1ea5e1,0x9a363adc5d382c04d36b09158286328f75672098,0x6d69ca3711e504658977367e13c300ab198379f1,3.0281,2023-06-24 00:36:16,mint,success
ec50446e-ac2b-4d83-897c-e75ed56e3d77,0x1ab2ccad4fc97c9968ea87d4435326715be32872,0xa98dc64bb42575efec7d1e4560c029231ce5da51,3.0966,2023-05-09 01:08:34,swap,pending
a15e12e9-dcfd-4fbe-81b1-a50e31613d82,0xc179d55f7e00e789915760f7d260a1bf6285278b,0x83ea74c67d393c6894c34c464657bda2183a2f1a,4.8087,2023-01-11 16:14:59,mint,success
481d0615-bba9-48d7-85fa-bf140f1dfe45,0x1724e16cb8d0e2aa4d08035bc6b5c56b680a3b22,0xa7e94d933eb0c439dda357f61244a485246e97b8,0.3847,2023-10-07 04:34:24,transfer,success
70eca4a1-1ea9-4b96-ab35-ca8c025f0ad5,0xcbbd9fe837a14258286bbf2e182cbc4e4518c5a3,0xb57297c5d02def954794e593db93d0a302e43e5c,0.8814,2024-12-21 13:27:41,stake,failed
dab9e841-ba68-4e87-89c7-37c33e5a190d,0x1656f1886c5ab634ac19568cd571bc72f385fdf7,0xf10fd8921019615a856c1e95c7cd3632de34edc4,4.491,2024-05-04 09:53:02,mint,success
4e82ee7b-4a35-4454-9e4e-dc252347ddfa,0x9ad1331c5b6c5a641acffb32719c66a80c6e1a17,0x4db0a72edb5ea6c55df929f76e7d5bb14e389860,2.8189,2024-11-20 23:08:53,mint,success
4247b25d-87a9-41e9-a5a5-f6d2bae4b9fa,0xc179d55f7e00e789915760f7d260a1bf6285278b,0x2844658bf341db96aa247259824f42025e3bcec2,1.16,2023-02-24 13:40:30,stake,success
f2e80407-0d6d-4dad-bd02-429ddba9045b,0x0fe383e5abc200055a7f391f94a5f5d1f844b9ae,0x880a0af12da55df1197f41697c1a1b61670ed410,3.7105,2024-03-11 03:01:31,swap,pending
cc686151-f1ff-4594-bdf6-5b5a3e0fcd25,0xdde73df7bd4d704a89ad8421402701b3a460c6e9,0xa98dc64bb42575efec7d1e4560c029231ce5da51,0.6673,2023-07-28 03:10:17,mint,success
786bfc5b-f5e0-4804-9162-cfed0b3d7920,0x1724e16cb8d0e2aa4d08035bc6b5c56b680a3b22,0x4db0a72edb5ea6c55df929f76e7d5bb14e389860,3.3673,2023-06-04 16:08:55,stake,failed
58a60fd6-6edd-4e17-867d-bb3166b18023,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xbd4a00764217c13a246f86db58d74541a0c3972a,2.3219,2025-02-24 08:30:30,transfer,pending
b1ab7b61-6252-4739-9bf6-9715e28b0efe,0x83ea74c67d393c6894c34c464657bda2183a2f1a,0xb475576594ae44e1f75f534f993cbb7673e4c8b6,2.1477,2025-05-02 18:59:00,mint,success
a6157c9e-e30c-4ffa-b8c5-cced74db04fd,0x9a363adc5d382c04d36b09158286328f75672098,0xfe5a05c0f8b24fca15a7306f6a4ebb7dcf2186ac,1.8987,2025-05-29 17:16:02,transfer,pending
8ad9b690-0c53-4131-bdf2-f2fa56740c07,0xd334d18fa6bada9a10f361bae42a019ce88a3c33,0x13b1c8b0e696aff8b4fee742119b549b605f3cbc,2.0545,2024-04-27 21:29:25,stake,pending
4013b8ac-f7ba-4292-a012-8244ebce511d,0xf7aa5d0752cfcd41b0a5945867d619a80c405e52,0x6e355417f7f56e7927d1cd971f0b5a1e6d538487,1.5351,2023-09-21 05:14:31,mint,failed
